序号,学校名称,排名,校名,校名,校名,校名,校名,校名,校名
1,北京大学,1,北京,,,,,,
2,中国人民大学,5,中国,人民,,,,,
3,清华大学,2,清华,,,,,,
4,北京交通大学,44,北京,交通,,,,,
5,北京工业大学,92,北京,工业,,,,,
6,北京航空航天大学,25,北京,航空,,航天,天大,,
7,北京理工大学,29,北京,理工,理工大,,,,
8,北京科技大学,42,北京,科技,,,,,
9,北方工业大学,328,北方,工业,,,,,
10,北京化工大学,77,北京,化工,,,,,
11,北京工商大学,251,北京,工商,商大,,,,
12,北京服装学院,356,北京,服装,,,,,
13,北京邮电大学,58,北京,邮电,电大,,,,
14,北京印刷学院,419,北京,印刷,,,,,
15,北京建筑大学,293,北京,建筑,,,,,
16,北京石油化工学院,447,北京,石油,化工,石油化工,,,
17,北京电子科技学院,702,北京,电子,科技,电子科技,,,
18,中国农业大学,34,中国,农业,,,,,
19,北京农学院,419,北京,农学,农学院,,,,
20,北京林业大学,105,北京,林业,,,,,
21,北京协和医学院,71,北京,协和,医学,医学院,,,
22,首都医科大学,108,首都,医科大,,,,,
23,北京中医药大学,146,北京,中医,医药,中医药,,,
24,北京师范大学,17,北京,京师,师范,,,,
25,首都师范大学,83,首都,师范,,,,,
26,首都体育学院,暂无,首都,体育,,,,,
27,北京外国语大学,暂无,北京,外国语,,,,,
28,北京第二外国语学院,暂无,北京,二外,外国语,,,,
29,北京语言大学,138,北京,语言,,,,,
30,中国传媒大学,暂无,中国,传媒,传媒大学,,,,
31,中央财经大学,113,中央,财经,中央财经,,,,
32,对外经济贸易大学,95,对外,外经,经济,贸易,,,
33,北京物资学院,452,北京,物资,,,,,
34,首都经济贸易大学,181,首都,经济,贸易,贸易大学,,,
35,外交学院,暂无,外交,外交学,,,,,
36,中国人民公安大学,暂无,中国,人民,公安,公安大学,,,
37,国际关系学院,暂无,国际,关系,,,,,
38,北京体育大学,暂无,北京,体育,,,,,
39,中央音乐学院,暂无,中央,音乐,音乐学,,,,
40,中国音乐学院,暂无,中国,国音,音乐,音乐学,,,
41,中央美术学院,暂无,中央,美术,术学,美术学,,,
42,中央戏剧学院,暂无,中央,戏剧,,,,,
43,中国戏曲学院,暂无,中国,戏曲,曲学,,,,
44,北京电影学院,暂无,北京,电影,电影学,,,,
45,北京舞蹈学院,暂无,北京,舞蹈,,,,,
46,中央民族大学,98,中央,民族,,,,,
47,中国政法大学,74,中国,国政,政法,政法大,,,
48,华北电力大学,118,华北,北电,电力,华北电,,,
49,中华女子学院,523,中华,女子,,,,,
50,北京信息科技大学,283,北京,信息,科技,,,,
51,中国矿业大学（北京）,230,中国,矿业,中国矿业大学,北京,,,
52,中国石油大学（北京）,117,中国,石油,石油大学,北京,,,
53,中国地质大学（北京）,167,中国,地质,中国地质大学,北京,,,
54,北京联合大学,320,北京,联合,,,,,
55,北京城市学院,#N/A,北京,城市,,,,,
56,中国青年政治学院,476,中国,青年,政治,治学,政治学,,
57,首钢工学院,723,首钢,工学院,,,,,
58,中国劳动关系学院,593,中国,劳动,关系,,,,
59,北京吉利学院,#N/A,北京,吉利,,,,,
60,首都师范大学科德学院,#N/A,首都,师范,首都师范大学,科德,,,
61,北京工商大学嘉华学院,#N/A,北京,工商,商大,北京工商大学,嘉华,,
62,北京邮电大学世纪学院,#N/A,北京,邮电,电大,北京邮电大学,世纪,,
63,北京工业大学耿丹学院,#N/A,北京,工业,北京工业大学,耿丹,,,
64,北京警察学院,暂无,北京,警察,,,,,
65,北京第二外国语学院中瑞酒店管理学院,#N/A,北京,二外,中瑞,酒店,管理,,
66,中国科学院大学,3,中国,科学院,中国科学院,,,,
67,中国社会科学院大学,暂无,中国,社会,科学院,中国社会科学院,,,
68,北京工业职业技术学院,#N/A,北京,工业,职业,技术,,,
69,北京信息职业技术学院,#N/A,北京,信息,职业,技术,,,
70,北京电子科技职业学院,#N/A,北京,电子,科技,电子科技,职业,,
71,北京京北职业技术学院,#N/A,北京,京北,职业,技术,,,
72,北京交通职业技术学院,#N/A,北京,交通,职业,技术,,,
73,北京青年政治学院,#N/A,北京,青年,政治,,,,
74,北京农业职业学院,#N/A,北京,农业,职业,,,,
