,1
Re,36141
 ,42262
部委,2938
直属,163
事业,2013
单位,2765
事业单位,1447
办法,71
调到,51
工作,1258
●,4223
想,376
喀什,2
公务,7236
公务员,7189
年龄,66
转载,680
城,140
同酬,107
同房,13
注册,65
会计,34
会计师,28
鸡肋,18
食,18
无味,18
可惜,18
弃之可惜,18
主题,1741
凌驾,8
凌驾于,8
法律,8
之上,9
职位,190
排序,10
武汉,4
工资,1127
敌情,4
羡慕,13
财政,261
政局,42
财政局,42
填,12
资产,53
负债,2
负债表,2
公告,45
版面,13
违规,50
违规行为,1
细则,11
冷暖,4
自知,13
冷暖自知,4
之路,4
考公之路,4
818,10
北京,2258
京市,766
北京市,761
一段,29
真实,14
经历,62
IT,2
男,73
10,65
年,763
收入,596
生活,146
正,151
gwy,61
岗位,360
话,135
说,884
希望,79
辞掉,16
老家,186
回老家,166
谈谈,38
中央,827
请,230
尊重,17
隐私,20
个人隐私,17
供,17
学弟,17
学妹,17
职业,273
选,417
一点,230
体会,38
二站,2
群体,2
招新,2
后悔,356
做,366
处长,981
退休,459
太,337
折腾,26
内向,3
说话,56
书记,713
一块,13
举报,168
有用,14
有用吗,1
黄,75
生作,1
正处,349
处级,398
正处级,113
调研,257
调研员,249
满,8
三年,66
提拔,429
副厅,207
厅级,202
副厅级,68
活着,4
宇宙,9
全宇宙,3
抗衡,3
三,146
定,188
方案,476
没,818
国企,375
级别,619
解释,11
如火如荼,3
教育,153
活动,25
行政,239
参公,205
改为,27
公益,62
一类,83
人员,399
身份,151
请问,557
两眼,1
摸黑,1
两眼一摸黑,1
摸索,1
半天,7
中国,247
国音,1
音乐,11
学院,99
音乐学,1
中国音乐学院,1
|,2
教学,1
服务,315
中心,400
服务中心,43
国有,27
国有资产,1
管理,461
待遇,811
文件,92
备注,8
发至,8
地厅级,8
理解,100
山东,182
山东人,92
当官,143
一年,211
开房,14
200,24
次,29
名,49
情人,14
轮流,14
伺候,36
走,273
想留,2
留,3
央企,849
三级,31
公司,336
职员,18
考,889
住,86
建委,46
下属,335
编,285
合适,201
能力,87
关系,213
更,51
选择,561
同志,111
快,108
醒醒,1
当年,100
穷困,34
潦倒,20
穷困潦倒,20
要饭,3
国家,733
fgw,40
省,236
驻京,2
办事,51
办事处,18
主任,620
正厅,108
正厅级,63
简历,69
晋升,156
前景,113
调档,11
辞职,305
乡,32
党委,223
党委书记,105
签字,7
洗,2
脚盆,1
下台,1
貌似,84
职级,327
并行,142
分管,119
同级,27
套改,35
会涨,8
人民,175
日报,51
人民日报,34
副总,179
编辑,7
副,1125
部,115
谱,29
面试,702
培训,60
培训班,15
推荐,129
实体,1
实体店,1
交,103
话费,1
优惠,5
算命,1
命运,23
善恶,5
终有,2
报,125
混编,3
何用,4
事实,6
真有,9
牛,185
逼,106
福利,96
免费,27
求职,17
系列,7
分享,29
涉及,8
群面,2
压力,15
面等,2
基层,355
体制,939
摆正,8
心态,19
隔壁,31
部门,957
领导,1853
追尾,16
连队,10
混,81
机关,946
招,86
发现,228
bug,10
证监,87
证监会,70
银,37
保监会,22
更高,27
年收入,170
20W,59
听说,409
机位,18
牺牲,18
100,37
多人,56
积分,18
变更,6
记录,52
四大,71
正职,148
一把,276
把手,247
一把手,232
乡镇,178
长期,32
抽调,21
县里,16
基层工作,55
建设,102
建设部,6
冯忠华,6
来头,6
过分,8
冰箱,2
一个月,57
电费,2
盗墓,1
笔记,6
吹灯,1
鬼吹灯,1
看多,1
下基层,1
乡下,28
倒,3
斗,41
清水,17
实权,85
副处,631
副处级,85
办公,586
公室,135
办公室,135
发改委,503
昨天,144
疯狂,3
加班,153
园,32
博园,35
项目,69
进展,37
电动,15
动车,17
电动车,15
眼目,41
目睹,41
亲眼目睹,41
好人,50
老好人,41
大哥,46
黑,61
…,633
酒桌,17
桌上,17
酒桌上,17
听,73
内幕,17
真想,17
告诉,17
明白,55
举个,6
例子,38
大神,121
咨询,476
老人,44
符合,10
离休,6
条件,123
组织,330
组织部,225
办,546
问,358
西城,46
城区,107
西城区,40
街道,53
街道办,31
咋样,179
求助,1338
部位,43
委,117
两地,168
分居,175
两地分居,168
材料,124
能源,31
局,208
疑问,17
自然,98
大自然,2
财富,2
离家,8
离家近,5
点,119
地方,346
副职,134
远点,2
世界,59
书,24
涨工资,281
大郊,34
亭,34
配售,64
房,124
烦透了,8
动作,17
规定动作,8
考上,255
买,177
东西,50
不看,22
价格,22
随便,36
买买,22
mmp,6
汉字,1
山水,1
为符,1
词热,1
风水,15
一种,34
超能,2
超能力,2
点书成,2
砖,2
市委,377
北京市委,140
办公厅,317
值得,219
有人,302
参加,164
补录,62
选调,114
选调生,26
大学,105
教职,24
职工,27
教职工,24
分房,654
板上,69
牛人,22
某前,22
jw,22
自杀,48
错话,4
公务员法,154
影响,280
人间,2
地狱,2
奈何,11
惧怕,2
死亡,2
抓,78
tiger,1
已有,50
两套,67
商品,131
商品房,129
受,43
省办,11
平台,10
61,38
改革,1310
能到,25
30,222
税后,75
午休,25
新晃,2
事,280
身在,5
新疆,115
那种,52
孤独,5
孤独感,5
感到,14
绝望,5
女,249
高中,41
毕业,253
高中毕业,12
整天,12
乐趣,15
怼,44
计算,123
算机,109
专业,241
计算机,109
计算机专业,79
前途,298
南京,75
发了,27
一项,7
专项,15
绩效,81
平均,37
万,534
缩小,6
人事,243
人事部,7
人事部门,7
能定,4
司长,73
县长,265
当上,61
后天,57
紧张,17
一写,14
混改,4
持股,15
人本,2
学,38
二,2
再学,2
不三不四,2
急问,15
大专,5
应届,207
业生,38
毕业生,23
报考,186
国联,42
联通,29
中国联通,19
集团,104
集团公司,12
纪检,170
监察,214
纪检监察,25
组,36
icu,13
进口,13
进口药,13
全报,13
局参公,11
VS,188
能住,5
高干,5
病房,5
市委书记,104
拍,11
肩膀,7
小伙,18
身体,7
壮,7
好几,4
几个,278
好几个,4
官员,90
双规,5
王子,5
小王子,5
宝地,11
借宝地,11
问问,29
科技,233
协作,6
字,20
反,2
作用,14
用力,1
作用力,1
地铁,78
安检,9
房子,244
堂堂,14
买不起,59
世道,9
什么世道,9
老办法,1
新,391
公法,8
解答,88
银保监,56
总会,56
科员,510
主任科员,412
良心,3
良心发现,3
英语,10
不知,54
从何,11
学起,3
两办,108
新闻,118
新闻处,6
有意,34
有意思,34
加薪,36
不提,22
深,16
沪,13
子公司,13
全国,231
部级,337
副部级,200
归云,1
搜索,2
招聘,137
索引,1
引擎,1
搜索引擎,1
遴选,164
中石,71
石化,71
中石化,71
资本,15
内设,47
资水,34
水平,209
工资水平,34
团团,37
秘书,413
吃香,46
实施,18
办事员,33
起步,20
退役,111
军人,140
退役军人,108
移民,5
发达,11
发达国家,1
刚,86
离京,51
升,181
降,131
一半,67
火箭,27
军,10
采购,7
服务站,7
官场,87
行业,64
尽头,1
总体,6
排行,6
排行榜,6
哪些地方,6
居前,6
有没有,416
35,450
岁,848
感觉,344
国土,56
背锅,2
省委,465
网信,176
屌丝,11
社,11
招进,45
开行,41
国开行,41
企业,232
就业,39
首选,1
北上,46
广深,1
红黑,1
榜,1
军队,246
文职,220
不值,6
值不值,6
值不值得,6
联招,1
录取,96
最低,103
分数,47
数线,13
分数线,13
公布,114
电子,63
电子科,53
电子科技,53
包,37
分配,124
中,365
外面,5
500,30
讨论,383
西三旗,311
小区,57
时,112
分,365
浙江,184
银监,74
银监局,34
正大,6
大光,6
光明,6
正大光明,6
迟到,6
上班,69
炅,8
马云,10
名人,8
首富,8
身上,8
编制,141
价值,29
djt,34
大面,3
面积,49
大面积,3
有过,24
妄心,1
妄语,1
妄行,1
人生,159
生在,12
在世,44
人生在世,12
对得起,3
两个,75
东城,63
干部,833
北戴河,16
权钱色,11
交易,11
真的,295
制住,11
限制住,11
涨价,4
库存,4
暴政,3
负责,112
想到,9
词,8
诸是,2
不举,2
差距,32
赶不上,11
千万,82
千万别,7
进,259
毁灭,7
梦想,7
玩笑,7
开玩笑,7
禁酒,4
酒令,4
禁酒令,4
饭局,68
挤,56
周六,4
周日,20
微信,32
头像,4
本青,32
郁闷,72
未,22
正式,100
发布,28
泄露,8
算,216
性质,8
房住,1
炒,2
脱贫,22
攻坚,1
千年,6
大鸡,1
消息,126
出,107
转,94
倍,16
薪水,57
跳出,16
跳出去,16
原理,16
还好,1
看待,36
国有企业,15
党建,55
辛江要,1
改省,1
跟着,30
焦虑,26
为啥,342
老同志,3
很久,3
离职,24
休养,3
副部,61
年入,56
职,171
户口,241
办理,43
破格,68
破格提拔,68
目的,3
江苏,4
趟,3
三里,3
河北,89
北区,3
河北区,3
50,23
看着,11
孩子,175
天日,1
暗无天日,1
市,239
地震,60
地震局,40
五年,206
务期,114
服务期,114
上学,125
保障,88
天地,4
之间,23
可怜,8
天有,4
归宿,8
地有,4
求证,3
说法,12
有大,1
外企,4
试题,8
贼,25
讨厌,25
越级,44
汇报,206
年薪,95
100w,23
外要,23
不算,58
算不算,15
弱势,6
大佬,222
资源,158
自然资源,75
算是,29
一流,25
智中,1
互联,99
联网,99
互联网,99
研究,312
研究院,42
软件,4
研发,1
工程,132
工程师,21
区级,31
纪委,581
监委,12
请教,684
讲个,8
真事,8
无望,48
读,88
在职,108
博士,285
地税,271
国地税,124
合并,349
3.4,6
机构,1134
撤销,62
2.2,6
求教,291
国家机关,55
配租,92
住房,98
离婚,113
补偿,23
提,74
公积,82
积金,82
公积金,82
非国管,4
职务,204
弊端,56
强制,14
迁,12
撤,18
undefined,3
爽,60
性价比,71
极高,9
对公,6
解决,354
配偶,121
京,31
出差,18
会议,51
周末,41
自费,14
自行,14
安排,41
自行安排,14
行程,14
一份,27
事情,430
做法,9
原则,18
政府,509
党员,181
学习,106
学费,5
路费,5
费用,17
报销,49
专业性,9
很强,9
处室,101
无论是,1
高尚,1
地为,2
自私,1
援藏,7
政策,123
广华,84
新城,91
二区,38
三区,38
中直,85
中直机关,67
国务,271
国务院,248
各部,74
各部委,65
要爽,61
彭宇行,5
程序,41
面前,30
空洞,4
洞洞,4
空洞洞,4
公开,68
社招,11
笔试,111
资格,106
理由,12
好考,34
情况,381
84,13
非,68
985,33
211,54
本科,62
33,54
混到,21
地级,173
地级市,173
常委,128
市委常委,19
交通,68
通信,30
补贴,183
半年,77
不发,56
整人,1
整钱,1
编差,21
一句,75
年金,19
社保,72
并轨,46
优势,85
信息,188
时代,75
信息时代,2
网络,79
中层,102
风中,7
朵,7
雨,7
云,7
写实,7
太普,7
太普通,7
经费,4
自理,4
深圳,278
坑,38
平级,6
爱,86
抢,23
功劳,1
图,22
省直,119
佛教,13
协会,21
佛教协会,13
伊斯,8
伊斯兰,8
计量,3
检测,11
科学,17
岗,200
内容,23
套级,116
难以,21
捉摸,21
难以捉摸,21
省级,229
政研室,5
20,88
厅,84
不含,18
驻厅,22
纪检组,85
这是,35
嫌弃,12
家乡,112
东兴,1
证券,18
金融,291
诚聘,1
量化,1
实习,4
实习生,1
占,35
厅里,4
系统,119
调动,295
省纪委,103
NB,34
提职,27
人去,10
热衷,10
马超,7
超群,49
马超群,7
案,4
终于,71
眉目,2
有眉目,2
留在,11
级,337
科级,99
副科级,8
县委,77
副县长,85
任命,127
建议,505
建议权,31
不当,11
部长,360
大使,29
科长,160
副科长,3
打卡,1
空降,36
一堆,66
凌晨,10
三四,284
四点,10
三四点,10
同事,189
电话,87
打电话,23
发微信,10
表态,1
解聘,37
市属,19
医保,52
档案,114
丢失,11
农村,61
尘埃,6
落定,6
尘埃落定,6
要说,19
靴子,3
落地,3
街乡,1
完,15
陈章良,10
科协,16
协调,14
小组,23
乡长,34
干,101
十年,95
二主,3
属,111
行政级别,17
穷,80
二代,117
很惨,27
省里,11
巡视,173
巡视员,22
发,173
朋友,263
朋友圈,28
太坑,1
党校,140
报告,173
克服,9
年轻,158
心理,14
障碍,9
心理障碍,9
强抱,7
女生,62
处罚,41
配,52
专车,36
每月,66
3000,36
车补,36
求问,256
三甲,1
医院,22
提供,19
体检,47
套餐,1
一二,268
二三,268
一二三,268
一二三四,268
局长,228
周祖翼,9
山东省,23
考试,309
成绩,142
已出,2
速查,2
为家,8
套房,21
子女,82
医疗,79
医疗费,9
失业,14
全省,39
核心,204
依然,39
潦,14
打牌,9
输,9
县级,38
试用,57
试用期,57
有偿,6
行测,125
辅导,5
带,82
面具,12
尘土,1
大院,23
找,177
辛苦,13
专用,11
语,10
皆,3
成,100
空,20
刷分,8
通州,401
人才,77
公寓,6
诺,6
得主,6
奖得主,6
可获,6
平米,40
租金,6
减免,6
政审,91
原,97
坏话,4
说坏话,4
咋办,133
坐,75
29,49
老婆,126
化妆,24
嘟囔,24
不想,238
应酬,25
事项,148
持有,5
基金,53
份额,4
录用,69
转正,105
麻烦,26
省厅,287
通人,68
普通人,68
家里,33
哥哥,23
谢谢,45
银监会,36
监管,117
监管局,80
政治,117
科研,21
省考,51
猜猜,5
跳,72
中纪委,264
管用,30
证监局,13
副局长,59
重考,10
路,11
知识,163
产权,132
产权局,123
知识产权局,68
处,20
圈里,4
有病,4
事权,18
人事权,8
组织部门,15
卫生,15
卫生部,8
卫生部门,8
技术,79
技术人员,7
定级,61
垂管,13
回事,23
怎么回事,16
作风,84
生活作风,60
区分,15
分度,3
区分度,3
结婚,51
省市,14
一级,200
对下,10
实物,7
固定,7
固定资产,7
区别,100
地市,37
实职,90
更爽,5
房屋,25
建筑,40
房屋建筑,25
成本,26
几百,54
百块,25
几百块,25
一平,25
脚踏,29
两只,29
脚踏两只船,29
开除,56
交通委,3
发展,386
委员,237
自然科,8
基金委,10
委员会,119
国家自然科学基金委员会,3
这活,8
保障局,22
清闲,3
党政,97
党政办,3
最忙,3
版,319
踏实,11
常用,5
比喻,5
比喻句,5
俗语,5
大全,5
二线,9
城市,187
全额,66
拨款,52
包括,33
提前,88
提前退休,42
秘书长,213
市长,342
两人,66
对调,66
强国,55
贸易,2
贸易战,2
搞,54
投资,76
哪家,9
骑,6
年终,121
考核,120
合格,3
恶意,4
考勤,3
显摆,13
难受,13
团场,5
正科,51
正科级,20
原以,4
原以为,4
考察,62
